type,image,truth,pred,recomputed_pred,correct,crop_path,column,chosen_digit,filled_digits,argmax_digit,min_count,threshold,count_0,count_1,count_2,count_3,count_4,count_5,count_6,count_7,count_8,count_9
mssv,502b9fc8b3ef32b16bfe.jpg,12025946,1202??4?,1202??4?,False,data\eval_artifacts\502b9fc8b3ef32b16bfe\crops\mssv.png,6,?,,9,311,431,366,332,351,346,335,341,355,311,337,417
mssv,502b9fc8b3ef32b16bfe.jpg,12025946,1202??4?,1202??4?,False,data\eval_artifacts\502b9fc8b3ef32b16bfe\crops\mssv.png,7,4,4,4,306,426,367,329,343,336,465,337,336,306,338,341
mssv,502b9fc8b3ef32b16bfe.jpg,12025946,1202??4?,1202??4?,False,data\eval_artifacts\502b9fc8b3ef32b16bfe\crops\mssv.png,8,?,,6,305,425,338,322,340,333,327,340,420,305,338,333
mssv,d2d96838441fc5419c0e.jpg,12025946,1?025?46,1?025?46,False,data\eval_artifacts\d2d96838441fc5419c0e\crops\mssv.png,1,1,1,1,315,435,330,466,328,335,327,340,341,315,319,328
mssv,d2d96838441fc5419c0e.jpg,12025946,1?025?46,1?025?46,False,data\eval_artifacts\d2d96838441fc5419c0e\crops\mssv.png,2,?,,2,306,426,346,306,411,340,329,335,351,316,323,360
mssv,d2d96838441fc5419c0e.jpg,12025946,1?025?46,1?025?46,False,data\eval_artifacts\d2d96838441fc5419c0e\crops\mssv.png,3,0,0,0,319,439,471,333,346,340,319,351,343,319,350,365
mssv,d2d96838441fc5419c0e.jpg,12025946,1?025?46,1?025?46,False,data\eval_artifacts\d2d96838441fc5419c0e\crops\mssv.png,4,2,2,2,313,433,357,333,496,345,344,313,370,320,350,344
mssv,d2d96838441fc5419c0e.jpg,12025946,1?025?46,1?025?46,False,data\eval_artifacts\d2d96838441fc5419c0e\crops\mssv.png,5,5,5,5,297,417,363,332,354,338,314,422,349,297,347,352
mssv,d2d96838441fc5419c0e.jpg,12025946,1?025?46,1?025?46,False,data\eval_artifacts\d2d96838441fc5419c0e\crops\mssv.png,6,?,,9,302,422,360,311,346,331,334,346,358,302,330,380
mssv,d2d96838441fc5419c0e.jpg,12025946,1?025?46,1?025?46,False,data\eval_artifacts\d2d96838441fc5419c0e\crops\mssv.png,7,4,4,4,304,424,356,321,322,340,470,337,346,304,316,344
mssv,d2d96838441fc5419c0e.jpg,12025946,1?025?46,1?025?46,False,data\eval_artifacts\d2d96838441fc5419c0e\crops\mssv.png,8,6,6,6,289,409,329,317,345,351,315,349,437,289,342,342
mssv,14405a4e7669f737ae78.jpg,41739528,?17??5??,?17??5??,False,data\eval_artifacts\14405a4e7669f737ae78\crops\mssv.png,1,?,,4,362,482,386,364,382,376,444,387,392,362,391,379
mssv,14405a4e7669f737ae78.jpg,41739528,?17??5??,?17??5??,False,data\eval_artifacts\14405a4e7669f737ae78\crops\mssv.png,2,1,1,1,358,478,391,479,369,371,379,374,393,358,402,395
mssv,14405a4e7669f737ae78.jpg,41739528,?17??5??,?17??5??,False,data\eval_artifacts\14405a4e7669f737ae78\crops\mssv.png,3,7,7,7,354,474,409,354,382,385,380,404,406,522,403,394
mssv,14405a4e7669f737ae78.jpg,41739528,?17??5??,?17??5??,False,data\eval_artifacts\14405a4e7669f737ae78\crops\mssv.png,4,?,,3,365,485,400,365,394,463,395,402,420,369,402,404
mssv,14405a4e7669f737ae78.jpg,41739528,?17??5??,?17??5??,False,data\eval_artifacts\14405a4e7669f737ae78\crops\mssv.png,5,?,,9,364,484,392,367,393,390,390,404,401,364,397,447
mssv,14405a4e7669f737ae78.jpg,41739528,?17??5??,?17??5??,False,data\eval_artifacts\14405a4e7669f737ae78\crops\mssv.png,6,5,5,5,347,467,398,364,390,385,381,473,404,347,387,395
mssv,14405a4e7669f737ae78.jpg,41739528,?17??5??,?17??5??,False,data\eval_artifacts\14405a4e7669f737ae78\crops\mssv.png,7,?,,2,347,467,400,370,439,390,375,387,381,347,387,384
mssv,14405a4e7669f737ae78.jpg,41739528,?17??5??,?17??5??,False,data\eval_artifacts\14405a4e7669f737ae78\crops\mssv.png,8,?,,8,348,468,388,362,396,393,379,381,395,348,415,377
mssv,7126b2d39ef41faa46e5.jpg,41739528,????????,????????,False,data\eval_artifacts\7126b2d39ef41faa46e5\crops\mssv.png,1,?,,4,336,456,370,353,358,367,414,367,375,336,377,360
mssv,7126b2d39ef41faa46e5.jpg,41739528,????????,????????,False,data\eval_artifacts\7126b2d39ef41faa46e5\crops\mssv.png,2,?,,1,329,449,374,446,360,364,354,361,367,329,370,372
mssv,7126b2d39ef41faa46e5.jpg,41739528,????????,????????,False,data\eval_artifacts\7126b2d39ef41faa46e5\crops\mssv.png,3,?,,7,348,468,379,348,367,374,361,377,383,437,377,377
mssv,7126b2d39ef41faa46e5.jpg,41739528,????????,????????,False,data\eval_artifacts\7126b2d39ef41faa46e5\crops\mssv.png,4,?,,3,344,464,389,353,381,445,373,386,394,344,370,378
mssv,7126b2d39ef41faa46e5.jpg,41739528,????????,????????,False,data\eval_artifacts\7126b2d39ef41faa46e5\crops\mssv.png,5,?,,9,342,462,387,344,377,380,373,370,379,342,368,413
mssv,7126b2d39ef41faa46e5.jpg,41739528,????????,????????,False,data\eval_artifacts\7126b2d39ef41faa46e5\crops\mssv.png,6,?,,5,331,451,390,362,379,379,364,431,373,331,363,362
mssv,7126b2d39ef41faa46e5.jpg,41739528,????????,????????,False,data\eval_artifacts\7126b2d39ef41faa46e5\crops\mssv.png,7,?,,2,332,452,382,351,401,364,362,358,364,332,352,362
mssv,7126b2d39ef41faa46e5.jpg,41739528,????????,????????,False,data\eval_artifacts\7126b2d39ef41faa46e5\crops\mssv.png,8,?,,8,329,449,353,342,371,370,362,364,365,329,388,358
mssv,78f60bfa27dda683ffcc.jpg,41739528,????????,????????,False,data\eval_artifacts\78f60bfa27dda683ffcc\crops\mssv.png,1,?,,4,328,448,336,334,345,351,394,348,350,328,357,346
mssv,78f60bfa27dda683ffcc.jpg,41739528,????????,????????,False,data\eval_artifacts\78f60bfa27dda683ffcc\crops\mssv.png,2,?,,1,319,439,362,428,353,346,348,354,364,319,350,348
mssv,78f60bfa27dda683ffcc.jpg,41739528,????????,????????,False,data\eval_artifacts\78f60bfa27dda683ffcc\crops\mssv.png,3,?,,7,340,460,370,340,356,359,353,357,372,408,368,369
mssv,78f60bfa27dda683ffcc.jpg,41739528,????????,????????,False,data\eval_artifacts\78f60bfa27dda683ffcc\crops\mssv.png,4,?,,3,328,448,374,348,357,410,351,351,365,328,365,365
mssv,78f60bfa27dda683ffcc.jpg,41739528,????????,????????,False,data\eval_artifacts\78f60bfa27dda683ffcc\crops\mssv.png,5,?,,9,321,441,368,339,360,351,345,345,354,321,350,390
mssv,78f60bfa27dda683ffcc.jpg,41739528,????????,????????,False,data\eval_artifacts\78f60bfa27dda683ffcc\crops\mssv.png,6,?,,5,323,443,367,331,347,355,340,395,352,323,344,355
mssv,78f60bfa27dda683ffcc.jpg,41739528,????????,????????,False,data\eval_artifacts\78f60bfa27dda683ffcc\crops\mssv.png,7,?,,2,310,430,354,326,381,339,336,352,349,310,346,348
mssv,78f60bfa27dda683ffcc.jpg,41739528,????????,????????,False,data\eval_artifacts\78f60bfa27dda683ffcc\crops\mssv.png,8,?,,8,305,425,336,338,351,343,330,350,358,305,361,337
mssv,f302a400882709795036.jpg,41739528,????????,????????,False,data\eval_artifacts\f302a400882709795036\crops\mssv.png,1,?,,4,327,447,337,334,354,349,384,345,360,327,346,347
mssv,f302a400882709795036.jpg,41739528,????????,????????,False,data\eval_artifacts\f302a400882709795036\crops\mssv.png,2,?,,1,318,438,357,416,347,349,336,337,357,318,350,342
mssv,f302a400882709795036.jpg,41739528,????????,????????,False,data\eval_artifacts\f302a400882709795036\crops\mssv.png,3,?,,7,335,455,364,335,357,360,347,347,371,408,361,351
mssv,f302a400882709795036.jpg,41739528,????????,????????,False,data\eval_artifacts\f302a400882709795036\crops\mssv.png,4,?,,3,330,450,375,341,361,398,346,368,364,330,357,356
mssv,f302a400882709795036.jpg,41739528,????????,????????,False,data\eval_artifacts\f302a400882709795036\crops\mssv.png,5,?,,9,322,442,371,347,355,358,346,360,342,322,355,384
mssv,f302a400882709795036.jpg,41739528,????????,????????,False,data\eval_artifacts\f302a400882709795036\crops\mssv.png,6,?,,5,313,433,367,328,346,356,350,389,361,313,348,357
mssv,f302a400882709795036.jpg,41739528,????????,????????,False,data\eval_artifacts\f302a400882709795036\crops\mssv.png,7,?,,2,313,433,356,323,377,351,335,343,352,313,347,347
mssv,f302a400882709795036.jpg,41739528,????????,????????,False,data\eval_artifacts\f302a400882709795036\crops\mssv.png,8,?,,8,313,433,332,342,355,348,332,348,340,313,367,333
mssv,5164e260ce474f191656.jpg,50712964,50?12964,50?12964,False,data\eval_artifacts\5164e260ce474f191656\crops\mssv.png,1,5,5,5,335,455,354,337,355,358,351,545,384,335,375,355
mssv,5164e260ce474f191656.jpg,50712964,50?12964,50?12964,False,data\eval_artifacts\5164e260ce474f191656\crops\mssv.png,2,0,0,0,337,457,525,337,354,370,355,361,372,341,376,370
mssv,5164e260ce474f191656.jpg,50712964,50?12964,50?12964,False,data\eval_artifacts\5164e260ce474f191656\crops\mssv.png,3,?,,7,348,468,385,348,375,367,364,381,381,453,376,384
mssv,5164e260ce474f191656.jpg,50712964,50?12964,50?12964,False,data\eval_artifacts\5164e260ce474f191656\crops\mssv.png,4,1,1,1,344,464,383,523,364,370,368,374,381,344,382,375
mssv,5164e260ce474f191656.jpg,50712964,50?12964,50?12964,False,data\eval_artifacts\5164e260ce474f191656\crops\mssv.png,5,2,2,2,339,459,382,351,516,360,356,364,372,339,358,375
mssv,5164e260ce474f191656.jpg,50712964,50?12964,50?12964,False,data\eval_artifacts\5164e260ce474f191656\crops\mssv.png,6,9,9,9,335,455,379,355,356,365,362,366,376,335,368,483
mssv,5164e260ce474f191656.jpg,50712964,50?12964,50?12964,False,data\eval_artifacts\5164e260ce474f191656\crops\mssv.png,7,6,6,6,334,454,375,348,367,364,360,369,481,334,365,371
mssv,5164e260ce474f191656.jpg,50712964,50?12964,50?12964,False,data\eval_artifacts\5164e260ce474f191656\crops\mssv.png,8,4,4,4,332,452,363,342,368,369,510,359,367,332,367,362
